"household","dtxsid","total.used","dir.derm.exp","dir.derm.max","dir.derm.abs","dir.inhal.exp","dir.inhal.max","dir.inhal.mass","dir.inhal.abs","dir.ingest.exp","dir.ingest.abs","dir.release","ind.derm.exp","ind.derm.pr.exp","ind.derm.ar.exp","ind.derm.max","ind.derm.abs","ind.inhal.exp","ind.inhal.pr.exp","ind.inhal.ar.exp","ind.inhal.amb.in","ind.inhal.amb.out","ind.inhal.max","ind.inhal.mass","ind.inhal.abs","ind.ingest.exp","ind.ingest.abs","out.sur","out.air","drain","waste","food.ing","food.abs"
1,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DTXSID3020205",6731.911231136,0.0924852732347992,0.000155107528683648,0.0355587051650063,0.000311522600200688,0.0138126070609225,0.0093456767440921,0.00149530827905474,4.68021797902781e-10,4.67797524665357e-10,18.494261624,2.57124863789732,2.57124863789732,0,0.000238841362824867,0.987256170704145,0.000550991634147559,0.000550991634147559,0,0,0,0.000844914237025693,0.0142658448599655,0.00228253517759448,0.00347716551376642,0.00347549927691521,0,0.32899164916264,2.7108752257348e-05,2.59345938689746,0,0
1,"DTXSID7021360",695445.703037152,0.189590581947143,0.00031796428410474,0.000127005971558874,0.0391955262271069,1.73826318682598,1.17593974350647,0.188150358961036,0,0,37.9181163894286,0.400606960969601,0.400606960969601,0,5.34758214892164e-05,0.00026836488954868,0.216388260770768,0.216388260770768,0,0,0,2.18491842351279,5.13100413781888,0.82096066205102,1.6300736128826e-07,1.62957387143466e-07,0,1415.2980986509,0,19.5197966825207,0,0
1,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"DTXSID2021781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"DTXSID3020205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"DTXSID7021360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"DTXSID8020462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"DTXSID8020913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
