"house.num","DTXSID2021781","DTXSID3020205","DTXSID7021360","DTXSID8020462","DTXSID8020913"
1,0,6731.911231136,695445.703037152,0,0
2,0,0,0,0,0
3,0,0,2371964.81,0,967.769417876
4,0,0,1187546.012,0,0
5,0,0,59676.96,0,0
6,0,0,1132370.0767253,800077.33577556,0
7,149910.290960688,0,0,0,0
8,0,0,621006.86,0,0
9,0,0,814803.725265988,36485.147664,0
10,0,0,458876.565726361,0,1267.31127015
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,324179.52,0,0
14,0,0,2932.972,0,1493.718424572
15,0,0,518574.762834275,0,0
16,0,0,445709.661940788,0,0
17,0,0,118035.84,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,143564,0,0
21,0,0,928289.32,2555.28,0
22,0,0,943013.01122397,456628.132558884,0
23,0,0,88829.067482475,0,0
24,0,0,0,1728936.93845891,0
25,0,0,0,2818024.9714395,3816.93655161
26,0,0,0,3276,0
27,0,0,0,7124.6,0
28,0,6353.136,616573.323792288,0,0
29,0,0,730185.88,2769.801821696,0
30,0,0,0,0,0
31,0,0,0,0,2073.02882556
32,0,0,1689183.912,0,0
33,0,0,0,0,446.132872775
34,0,0,283845.801160422,0,0
35,0,0,542951.084,0,0
36,0,0,0,23493.62752148,4749.1616049
37,0,0,1387887.488,764444.37388995,0
38,0,0,0,0,0
39,0,0,1372292.37,0,0
40,42846.258502656,0,593603.808239232,15643.062799191,0
41,0,0,181775.210090812,0,0
42,0,0,18698.72354028,0,0
43,0,0,174.1531515,0,0
44,0,0,0,758119.897605888,0
45,0,0,468078.617640397,980381.579541364,0
46,0,0,993838.34438402,2287884.21914052,0
47,0,0,99.3616008,0,0
48,0,0,17666.796,0,2598.915479625
49,113487.030523224,0,0,14612.74658712,0
50,0,0,88735.590378318,3373.3661052,0
51,0,0,412.24232436,0,0
52,0,0,475515.8,587006.36389911,0
53,0,0,1477963.7637824,0,0
54,0,0,1263432.31,0,0
55,0,0,1157509.2,7389.2,0
56,0,0,58158.07359804,109122.559377,0
57,0,0,135058.708,885428.98568514,0
58,300198.435067944,0,86.6797701,0,3357.892471872
59,0,0,0,0,0
60,0,0,56917.752,72396.897216917,0
61,123693.937379221,16371.385923816,510910.386667384,0,0
62,0,0,0,0,0
63,0,0,1241455.03442915,66071.33018343,0
64,0,0,2091209.8899986,1559.668597504,0
65,111135.389629342,0,202874.754,1569331.07102554,0
66,0,0,0,57814.4529105,0
67,0,0,15463.14,0,0
68,0,0,709246.436,0,0
69,0,0,0,735.20412432,0
70,92980.564330758,0,0,92695.924472052,0
71,0,0,63274.596,0,4625.753454432
72,0,0,0,2311831.0535644,0
73,107025.292138572,0,0,9199.261313424,0
74,0,0,0,0,0
75,0,0,131017.022391717,0,0
76,0,0,59147.244,62471.20297728,0
77,0,0,0,0,0
78,0,0,0,0,3792.736810512
79,0,0,0,2052.636301716,3426.3844776
80,39574.07970646,0,1589326.5071918,372438.157468104,1565.001058608
81,0,0,1857.784057227,0,0
82,0,0,63326.935529664,0,0
83,0,0,281040.9742252,0,0
84,0,0,1432.21971018,670995,0
85,0,0,36448.69569264,27518.4,0
86,0,0,1236862.66,0,0
87,0,0,904336.2,0,0
88,0,0,26687.832200172,174420.50198985,0
89,0,0,0,2787.6284163,0
90,0,0,90.148159,50063.73062292,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,2344655.32752075,0,0
94,0,0,5344.54536375,0,0
95,0,0,3319.708,1555.191822096,0
96,0,0,545445.46,0,0
97,0,0,0,2514906.42484827,0
98,0,0,162394.092,0,0
99,70861.433857786,0,822634.56,2980568.99803494,0
100,0,0,58773.876,0,0
101,0,0,365049.33,12204,974.94688389
102,0,0,2875.908,0,0
103,0,0,0,3598.62814584,0
104,0,0,0,0,0
105,0,0,0,363447.45914442,0
106,0,0,0,7069.2152589,0
107,78542.887846536,0,0,47742.664894548,0
108,0,0,0,0,0
109,104238.74827023,0,0,0,0
110,0,0,528020.249540922,0,0
111,0,0,433514.58,0,0
