"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
1,0,0,0,9.60719253889357e-07,0,0,0,0,9.60719253889357e-07,0,0,0,0,0,0,0,0,0,9.40214376032974e-10,0,0,0,0,3.90839980050684e-07,0,0,0,0,3.67908984381804e-07,0,0,0,0,3.67908984381804e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.20004391836704e-06,0,0,0,0,9.5763209060423e-06,0,0,0,0,1.53221134496677e-06,0,0,0,0,2.1440417645499e-07,0,0,0,0,1.71269434090046e-07,0
2,0,0,0,6.75964972612167e-06,0,0,0,0,6.75964972612167e-06,0,0,0,0,0,0,0,0,0,1.73719209544877e-09,0,0,0,0,2.74996192010457e-06,0,0,0,0,3.87652648136871e-07,0,0,0,0,3.87652648136871e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21515231221454e-06,0,0,0,0,9.73753157852102e-06,0,0,0,0,1.55800505256336e-06,0,0,0,0,1.50855426992434e-06,0,0,0,0,1.20505691808809e-06,0
3,0,0,0,1.49623098621206e-05,0,0,0,0,1.49623098621206e-05,0,0,0,0,0,0,0,0,0,2.82894583093808e-09,0,0,0,0,6.0869695952787e-06,0,0,0,0,4.02937057216458e-07,0,0,0,0,4.02937057216458e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22990049510536e-06,0,0,0,0,1.04216118164639e-05,0,0,0,0,1.66745789063423e-06,0,0,0,0,3.33914586479371e-06,0,0,0,0,2.66736232504031e-06,0
4,0,0,0,2.10630105992062e-05,0,0,0,0,2.10630105992062e-05,0,0,0,0,0,0,0,0,0,3.66341808818633e-09,0,0,0,0,8.56885776887863e-06,0,0,0,0,4.10426621805126e-07,0,0,0,0,4.10426621805126e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24367000420103e-06,0,0,0,0,1.04983692693002e-05,0,0,0,0,1.67973908308804e-06,0,0,0,0,4.70064217293769e-06,0,0,0,0,3.75494702636006e-06,0
5,0,0,0,2.69160665741204e-05,0,0,0,0,2.69160665741204e-05,0,0,0,0,0,0,0,0,0,4.56558462683813e-09,0,0,0,0,1.09499990556905e-05,0,0,0,0,4.32539600398667e-07,0,0,0,0,4.32539600398667e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25778046566038e-06,0,0,0,0,1.10017076447901e-05,0,0,0,0,1.76027322316642e-06,0,0,0,0,6.00687148078808e-06,0,0,0,0,4.7983835771137e-06,0
6,0,0,0,3.6757853285115e-05,0,0,0,0,3.6757853285115e-05,0,0,0,0,0,0,0,0,0,5.40722877503932e-09,0,0,0,0,1.49538364995804e-05,0,0,0,0,4.40563237477127e-07,0,0,0,0,4.40563237477127e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27143124848986e-06,0,0,0,0,1.12089090597018e-05,0,0,0,0,1.79342544955229e-06,0,0,0,0,8.20326773918917e-06,0,0,0,0,6.55289951254754e-06,0
7,0,0,0,4.774803943162e-05,0,0,0,0,4.774803943162e-05,0,0,0,0,0,0,0,0,0,6.20708638867090e-09,0,0,0,0,1.94248660088402e-05,0,0,0,0,4.57963492551111e-07,0,0,0,0,4.57963492551111e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28411508760817e-06,0,0,0,0,1.16861024764503e-05,0,0,0,0,1.86977639623204e-06,0,0,0,0,1.06559528501507e-05,0,0,0,0,8.5121430212375e-06,0
8,0,0,0,4.53895256011653e-05,0,0,0,0,4.53895256011653e-05,0,0,0,0,0,0,0,0,0,6.88603073006524e-09,0,0,0,0,1.84653749871787e-05,0,0,0,0,4.63752776888909e-07,0,0,0,0,4.63752776888909e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.29500739547547e-06,0,0,0,0,1.16962059682828e-05,0,0,0,0,1.87139295492525e-06,0,0,0,0,1.01296021879471e-05,0,0,0,0,8.09168581961463e-06,0
9,0,0,0,4.88854988796635e-05,0,0,0,0,4.88854988796635e-05,0,0,0,0,0,0,0,0,0,7.6748606763782e-09,0,0,0,0,1.98876074665366e-05,0,0,0,0,4.79534653511888e-07,0,0,0,0,4.79534653511888e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30766259871735e-06,0,0,0,0,1.19774001359903e-05,0,0,0,0,1.91638402175844e-06,0,0,0,0,1.09098002204635e-05,0,0,0,0,8.7149203000087e-06,0
10,0,0,0,5.47662603045555e-05,0,0,0,0,5.47662603045555e-05,0,0,0,0,0,0,0,0,0,8.37887188699669e-09,0,0,0,0,2.22800198895027e-05,0,0,0,0,4.88765217124876e-07,0,0,0,0,4.88765217124876e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31895705450774e-06,0,0,0,0,1.21981869176515e-05,0,0,0,0,1.95170990682424e-06,0,0,0,0,1.22222125668673e-05,0,0,0,0,9.76329595937258e-06,0
11,0,0,0,5.4191123332907e-05,0,0,0,0,5.4191123332907e-05,0,0,0,0,0,0,0,0,0,9.06976751958665e-09,0,0,0,0,2.204604256302e-05,0,0,0,0,5.00223209739627e-07,0,0,0,0,5.00223209739627e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33004109700656e-06,0,0,0,0,1.2325249654591e-05,0,0,0,0,1.97203994473456e-06,0,0,0,0,1.20938589731864e-05,0,0,0,0,9.66076508652942e-06,0
12,0,0,0,6.63862295165812e-05,0,0,0,0,6.63862295165812e-05,0,0,0,0,0,0,0,0,0,9.80403825468801e-09,0,0,0,0,2.7007257859005e-05,0,0,0,0,5.09663512519576e-07,0,0,0,0,5.09663512519576e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34196170766134e-06,0,0,0,0,1.25987170989306e-05,0,0,0,0,2.01579473582889e-06,0,0,0,0,1.48154466664762e-05,0,0,0,0,1.18348122145434e-05,0
13,0,0,0,7.45033857668972e-05,0,0,0,0,7.45033857668972e-05,0,0,0,0,0,0,0,0,0,1.04689828562657e-08,0,0,0,0,3.03094808279923e-05,0,0,0,0,5.23650583483445e-07,0,0,0,0,5.23650583483445e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35248871648073e-06,0,0,0,0,1.29726374898291e-05,0,0,0,0,2.07562199837266e-06,0,0,0,0,1.66269563181875e-05,0,0,0,0,1.3281874664665e-05,0
14,0,0,0,8.12864855374582e-05,0,0,0,0,8.12864855374582e-05,0,0,0,0,0,0,0,0,0,1.1063012681474e-08,0,0,0,0,3.30689826994029e-05,0,0,0,0,5.29135836209782e-07,0,0,0,0,5.29135836209782e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36221249421853e-06,0,0,0,0,1.31361391226523e-05,0,0,0,0,2.10178225962437e-06,0,0,0,0,1.81407439457712e-05,0,0,0,0,1.44911120713029e-05,0
