house.num,DTXSID2021781,DTXSID3020205,DTXSID7021360,DTXSID8020462,DTXSID8020913
1,0,6731.911231136,695445.703037152,0,0
2,0,0,932.084060064,0,0
3,0,0,0,0,2749.049080288
4,0,0,0,0,0
5,0,0,16667.3456311,3133797.69940728,0
6,0,0,126464.715614192,0,1153.56910328
7,0,0,288978.722529,2555309.86102574,6570.122674608
8,0,0,92831.7,4433.924775846,0
9,0,0,138218.4,0,1424.516521896
10,0,0,0,0,0
11,0,0,0,0,0
12,94941.68031,0,0,1472510.6948253,0
13,0,0,201875.58766152,5.336653775,0
14,0,0,1347.334103688,1110.78,0
15,0,0,3068.464,2300060.88247026,0
16,0,0,112560.132991761,0,0
17,0,0,0,221945.05215972,0
18,155709.76761207,0,0,0,1509.29536004
19,0,0,0,3931.2,0
20,0,0,256945.738241925,658.35,490.61711736
21,96433.325419728,0,346930.396,83285.4942864,0
22,0,0,0,4782.235957772,0
23,0,0,628370.06,1280547.00492698,1428.01052745
24,0,0,0,1549979.46444898,0
25,0,0,0,1529311.33651296,0
26,0,17203.86907272,66667.09963548,0,0
27,0,0,116789.736,0,3093.4959727
28,0,0,1146354.50234714,5844.21336224,0
29,0,0,2484.16,0,0
30,0,0,130796.25,0,0
31,0,0,16830.299635506,801594.732035196,4526.193856548
32,0,0,54348.732,0,0
33,0,0,0,0,0
34,0,0,696215.89656203,0,0
35,0,0,1643611.852,0.0058505625,0
36,0,0,2231644.324,0,0
37,0,0,0,0,0
38,0,0,0,10571.349997572,0
39,0,0,2526.941840325,0,0
40,0,0,110713.393833452,0,0
41,0,0,0,0,0
42,0,0,152122.77213357,0,0
43,0,0,0,0,0
44,0,0,0,18084.49406841,0
45,0,0,111478.1209792,7.483568855,0
46,0,0,130587.369825,1538.1601326,0
47,0,0,1039171.66256783,0,0
48,0,0,0,589443.26259,0
49,0,0,123142.658464896,9163178.90450144,0
50,0,0,1691046.96,0,0
51,0,0,871275.42,62139.4763648,0
52,0,0,139629.89068281,2288005.10163208,0
53,0,0,91054.92285,35015.75,0
54,128496.893429212,0,0,0,4929.707449728
55,0,0,129722.4,0,0
56,0,0,808788.9,11075.20202096,0
57,0,0,0,4693.723671273,0
58,0,14504.821006896,479435.136973404,0,0
59,0,10012.059469524,233132.096730888,0,0
60,0,0,213678.169994626,0,0
61,0,0,0,1609.917186112,0
62,95819.626233656,0,327183.594094689,0,0
63,0,0,0,0,0
64,0,0,188865.15851997,0,0
65,0,0,448182.504,0,0
66,0,0,0,645885.643008984,0
67,72057.622722525,0,0,0,0
68,0,0,329734.08,0,0
69,0,0,1337198.15287846,0,3118.893514902
70,59241.68146875,0,0,0,0
71,0,0,116964.788,0,3130.31550078
