"daynum","ind.derm.exp1","ind.derm.exp2","ind.derm.exp3","ind.derm.exp4","ind.derm.exp5","ind.derm.pr.exp1","ind.derm.pr.exp2","ind.derm.pr.exp3","ind.derm.pr.exp4","ind.derm.pr.exp5","ind.derm.ar.exp1","ind.derm.ar.exp2","ind.derm.ar.exp3","ind.derm.ar.exp4","ind.derm.ar.exp5","ind.derm.max1","ind.derm.max2","ind.derm.max3","ind.derm.max4","ind.derm.max5","ind.derm.abs1","ind.derm.abs2","ind.derm.abs3","ind.derm.abs4","ind.derm.abs5","ind.inhal.exp1","ind.inhal.exp2","ind.inhal.exp3","ind.inhal.exp4","ind.inhal.exp5","ind.inhal.pr.exp1","ind.inhal.pr.exp2","ind.inhal.pr.exp3","ind.inhal.pr.exp4","ind.inhal.pr.exp5","ind.inhal.ar.exp1","ind.inhal.ar.exp2","ind.inhal.ar.exp3","ind.inhal.ar.exp4","ind.inhal.ar.exp5","ind.inhal.amb.in1","ind.inhal.amb.in2","ind.inhal.amb.in3","ind.inhal.amb.in4","ind.inhal.amb.in5","ind.inhal.amb.out1","ind.inhal.amb.out2","ind.inhal.amb.out3","ind.inhal.amb.out4","ind.inhal.amb.out5","ind.inhal.max1","ind.inhal.max2","ind.inhal.max3","ind.inhal.max4","ind.inhal.max5","ind.inhal.mass1","ind.inhal.mass2","ind.inhal.mass3","ind.inhal.mass4","ind.inhal.mass5","ind.inhal.abs1","ind.inhal.abs2","ind.inhal.abs3","ind.inhal.abs4","ind.inhal.abs5","ind.ingest.exp1","ind.ingest.exp2","ind.ingest.exp3","ind.ingest.exp4","ind.ingest.exp5","ind.ingest.abs1","ind.ingest.abs2","ind.ingest.abs3","ind.ingest.abs4","ind.ingest.abs5"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0.0777309397831102,0,0,0,0,0.0777309397831102,0,0,0,0,0,0,0,0,0,6.39541594665622e-05,0,0,0,0,5.21691058833854e-05,0,0,0,0,1.75138178691252,0,0,0,0,1.75138178691252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3655501600906,0,0,0,0,36.3917016917498,0,0,0,0,5.82267227067998,0,0,0,0,2.12493285097422e-09,0,0,0,0,2.1242813975605e-09,0,0
6,0,0,1.10360751519505,0,0,0,0,1.10360751519505,0,0,0,0,0,0,0,0,0,0.000133503427262224,0,0,0,0,0.000740685980055788,0,0,0,0,0.686201314336283,0,0,0,0,0.686201314336283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36533462247775,0,0,0,0,11.3813427177508,0,0,0,0,1.82101483484013,0,0,0,0,3.01693491698854e-08,0,0,0,0,3.01600999714943e-08,0,0
7,0,0,0.615791837620388,0,0,0,0,0.615791837620388,0,0,0,0,0,0,0,0,0,8.2942055331564e-05,0,0,0,0,0.000413288578120637,0,0,0,0,0.112760194791691,0,0,0,0,0.112760194791691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147628771719399,0,0,0,0,2.3227368035713,0,0,0,0,0.371637888571408,0,0,0,0,1.68339184985084e-08,0,0,0,0,1.68287576231108e-08,0,0
8,0,0,0.124861305298764,0,0,0,0,0.124861305298764,0,0,0,0,0,0,0,0,0,4.02105672881925e-05,0,0,0,0,8.38006419971823e-05,0,0,0,0,0.0419228662961344,0,0,0,0,0.0419228662961344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872029123907477,0,0,0,0,0.69937041011628,0,0,0,0,0.111899265618605,0,0,0,0,3.41333695675343e-09,0,0,0,0,3.41229050956258e-09,0,0
9,0,0,0.0996574294399512,0,0,0,0,0.0996574294399512,0,0,0,0,0,0,0,0,0,2.41197960325412e-05,0,0,0,0,6.68850653681213e-05,0,0,0,0,0.0257372876654761,0,0,0,0,0.0257372876654761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523065803164617,0,0,0,0,0.465500115682586,0,0,0,0,0.0744800185092137,0,0,0,0,2.72433790523412e-09,0,0,0,0,2.72350268861648e-09,0,0
10,0,0,0.0490743610533098,0,0,0,0,0.0490743610533098,0,0,0,0,0,0,0,0,0,1.44679520365663e-05,0,0,0,0,3.29362483599599e-05,0,0,0,0,0.0152088826809002,0,0,0,0,0.0152088826809002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031375434403658,0,0,0,0,0.259711903286146,0,0,0,0,0.0415539045257833,0,0,0,0,1.34154716556516e-09,0,0,0,0,1.34113587940133e-09,0,0
11,0,0,0.527491606292835,0,0,0,0,0.527491606292835,0,0,0,0,0,0,0,0,0,0.00084436962027073,0,0,0,0,0.000354025894168687,0,0,0,0,52.6422954398604,0,0,0,0,52.6422954398604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549.430076207526,0,0,0,0,802.072985376929,0,0,0,0,128.331677660309,0,0,0,0,1.44200526322256e-08,0,0,0,0,1.44156317901698e-08,0,0
12,0,0,12.4488937882533,0,0,0,0,12.4488937882533,0,0,0,0,0,0,0,0,0,0.0043847292841309,0,0,0,0,0.00835507276745317,0,0,0,0,35.9023081269514,0,0,0,0,35.9023081269514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.915010019661,0,0,0,0,479.581866092782,0,0,0,0,76.7330985748451,0,0,0,0,3.40315753839583e-07,0,0,0,0,3.40211421197034e-07,0,0
13,0,0,27.7329584022532,0,0,0,0,27.7329584022532,0,0,0,0,0,0,0,0,0,0.00350112190635487,0,0,0,0,0.0186129699111272,0,0,0,0,5.53710651781992,0,0,0,0,5.53710651781992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0040324369656,0,0,0,0,112.225616851411,0,0,0,0,17.9560986962258,0,0,0,0,7.58136650966546e-07,0,0,0,0,7.57904224464639e-07,0,0
14,0,0,14.8798682906214,0,0,0,0,14.8798682906214,0,0,0,0,0,0,0,0,0,0.0020602091690372,0,0,0,0,0.00998662085586837,0,0,0,0,2.84542682973541,0,0,0,0,2.84542682973541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69206812741287,0,0,0,0,57.5557839342987,0,0,0,0,9.20892542948779,0,0,0,0,4.06771371054249e-07,0,0,0,0,4.06646664714397e-07,0,0
15,0,0,3.29500393386513,0,0,0,0,3.29500393386513,0,0,0,0,0,0,0,0,0,0.00102025355512774,0,0,0,0,0.00221144128183218,0,0,0,0,1.04000391933908,0,0,0,0,1.04000391933908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21254086288187,0,0,0,0,17.6621758234172,0,0,0,0,2.82594813174675,0,0,0,0,9.0075613683506e-08,0,0,0,0,9.00479986621654e-08,0,0
16,0,0,1.95774688462698,0,0,0,0,1.95774688462698,0,0,0,0,0,0,0,0,0,0.000599091198427024,0,0,0,0,0.00131394146014384,0,0,0,0,0.602863194083699,0,0,0,0,0.602863194083699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32716290385764,0,0,0,0,10.314101384631,0,0,0,0,1.65025622154097,0,0,0,0,5.35189807384812e-08,0,0,0,0,5.35025731034423e-08,0,0
17,0,0,1.03208198230247,0,0,0,0,1.03208198230247,0,0,0,0,0,0,0,0,0,0.000359357214822507,0,0,0,0,0.000692681631861231,0,0,0,0,0.339058281868436,0,0,0,0,0.339058281868436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796081740715165,0,0,0,0,5.69119021978252,0,0,0,0,0.910590435165203,0,0,0,0,2.8214053698726e-08,0,0,0,0,2.82054039469993e-08,0,0
18,0,0,0.972893353292478,0,0,0,0,0.972893353292478,0,0,0,0,0,0,0,0,0,0.000224934987122222,0,0,0,0,0.000652957194429618,0,0,0,0,0.241946871597587,0,0,0,0,0.241946871597587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477519479279744,0,0,0,0,4.43303020880485,0,0,0,0,0.709284833408776,0,0,0,0,2.65960125102573e-08,0,0,0,0,2.65878588111259e-08,0,0
