"house.num","DTXSID2021781","DTXSID3020205","DTXSID7021360","DTXSID8020462","DTXSID8020913"
1,0,0,1357353.54,0,0
3,0,0,782758.984,0,0
4,0,0,2985.92,0,0
5,0,0,1505431.08,0,0
6,0,0,2269737.72,0,0
8,0,0,722253.044,0,0
9,0,0,0,0,0
13,0,0,207913.420254316,0,0
14,0,0,913857.212,0,0
15,0,0,61033.6,0,0
16,0,0,2860.564,0,0
20,0,0,749434.608,0,0
21,0,0,0,0,1429.60652016
22,0,0,3068.464,0,0
28,0,0,253001.46,0,0
29,0,0,0,0,0
30,0,0,0,0,0
32,0,0,25034.959990755,0,0
33,0,0,116789.736,0,0
34,0,0,1003509.1819904,0,0
35,0,0,2484.16,0,0
36,0,0,0,0,0
37,0,8281.632,0,0,14027.657111832
38,0,0,324055.404,0,0
39,0,5851.008,0,0,0
40,0,0,1025114.4,0,0
41,0,0,2231644.324,0,0
44,0,0,368283.51,0,0
45,0,0,1474815.492,0,0
46,0,0,719625.564,0,0
48,0,0,0,0,0
50,0,0,141853.132239804,0,0
51,0,0,990648.51976806,0,0
53,0,0,0,0,0
54,0,0,679692.4,0,0
55,0,0,339649.74,0,0
56,0,0,3153.108,0,0
57,0,0,0,0,0
58,0,0,534577.459891878,0,6904.874711688
60,0,0,0,0,0
61,0,0,845775.864,0,0
63,0,0,69658.3230333,0,0
64,0,0,0,0,0
65,0,0,17442.014,0,0
67,0,0,1072540.896,0,0
68,0,0,112534.92,0,0
71,0,0,504237.012,0,0
73,0,0,161414.278,0,0
76,0,0,0,0,0
79,0,0,0,0,0
80,0,0,69880.68,0,0
81,0,0,1440415.798,0,0
82,0,9056.76,0,0,0
84,0,0,0,0,0
85,0,0,2072471.92,0,0
87,0,0,61311.876,0,0
88,0,0,78375.084,0,0
92,0,0,162434.8,0,0
93,0,0,0,0,0
95,0,0,978723.4,0,0
96,0,0,89035.65,0,5720.402
97,0,0,0,0,0
98,0,0,205224.8,0,0
99,0,0,632802.14,0,0
100,0,0,1816367.99358753,0,0
101,0,0,759121.476,0,0
102,0,0,594282.5,0,0
104,0,0,401262.039,0,0
107,0,0,2245519.224,0,0
108,0,0,0,0,0
110,0,0,0,0,0
111,0,0,864732.8,0,0
112,0,0,0,0,0
113,0,0,106946.848,0,0
114,0,0,1472204.202,0,0
115,0,0,1742687.44,0,0
116,0,0,808938.06,0,0
117,0,0,0,0,0
118,0,0,54576.36634912,0,0
119,0,0,0,0,0
120,0,0,995876.8,0,0
121,0,0,1002881,0,0
122,0,3988.8,1195669.66,0,0
126,0,0,0,0,0
128,0,0,360066.668,0,0
129,0,0,502625,0,0
130,0,0,126183.4196855,0,0
131,0,0,482768.16,0,0
132,0,0,225675.28,0,0
133,0,0,755314.332,0,0
136,0,0,800228.50796177,0,0
137,0,0,426626.52,0,0
138,0,0,0,0,0
139,0,0,78742.192,0,0
140,0,0,2869.972,0,0
141,0,0,899317.53,0,0
142,0,0,1269090.068,0,0
143,0,0,647466.88,0,0
144,0,0,1025210.58,0,0
145,0,0,62931.96,0,0
147,0,0,172036.512,0,0
148,0,0,1021402.008,0,0
149,0,0,0,0,0
150,0,0,1995430.32,0,0
151,0,0,0,0,0
153,0,0,737336.832,0,0
154,0,0,0,0,0
156,0,0,3119.424,0,0
157,0,0,1370712.81514336,0,0
158,0,0,0,0,0
159,0,0,3050.516,0,0
161,0,0,485521.176,0,0
162,0,0,347318.264160388,0,0
163,0,0,0,0,0
168,0,0,0,0,0
169,0,0,1715982.06,0,0
170,0,0,1382955.392,0,0
173,0,0,20596.36,0,0
174,0,0,1049830,0,0
175,0,0,924727.7317412,0,0
178,0,0,0,0,0
180,0,0,0,0,0
181,0,0,0,0,0
182,0,0,0,0,0
184,0,0,285792.693016544,0,0
185,0,0,0,0,0
187,0,0,1149181.542,0,0
189,0,8255.136,1331430.672,0,0
190,0,0,0,0,0
191,0,0,3291.736,0,0
192,0,0,283747.802,0,0
195,0,0,1213660.68,0,0
196,0,0,0,0,0
199,0,0,0,0,0
202,0,0,39187.1377763,0,0
206,0,0,148762.419,0,0
209,0,0,1014649.984,0,0
213,0,0,0,0,0
215,0,0,478409.2,0,0
216,0,0,0,0,0
217,0,0,315716.64,0,0
222,0,0,665515.494,0,0
223,0,0,0,0,2053.642
224,0,0,0,0,0
225,0,0,48670,0,0
226,0,0,14788.62,0,0
229,0,0,29794.08,0,0
230,0,0,0,0,0
233,0,0,0,0,0
234,0,0,718555.292,0,0
235,0,0,831214.489112806,0,2053.076
239,0,0,0,0,0
240,0,0,417609.526,0,0
242,0,0,0,0,0
243,0,0,486746.24,0,0
245,0,16752.576,2819.46,0,0
247,0,7422.528,0,0,0
248,0,0,125781.652,0,0
251,0,0,219948.4903666,0,0
253,0,0,0,772.355551408,0
254,0,0,332041.6,0,0
255,0,0,0,0,0
256,0,0,161799.192,0,0
257,0,0,230343.904825248,0,0
259,0,0,0,0,0
262,0,0,348824.07035368,0,0
263,0,0,0,0,0
264,0,0,0,0,0
265,0,0,701116.428,0,0
266,0,0,58909.8,0,0
268,0,0,169864.608,0,3037.464
269,0,0,0,0,0
270,0,0,0,0,0
271,0,0,490.93861802,0,0
272,0,0,2707.656,0,0
273,0,0,2732.044,0,0
274,0,0,239560.18,0,0
278,0,0,1357226.762,0,0
279,0,0,101079.31,0,0
280,0,0,0,0,0
284,0,0,0,0,0
286,0,0,0,0,0
287,0,0,350034.93,0,0
288,0,0,192102.188,0,0
289,0,0,0,0,0
290,0,0,232.257166289,0,0
294,0,0,2709.336,0,0
296,0,0,23950.6,0,0
297,0,0,650168.32,0,0
298,0,0,1037123.256,0,0
300,0,0,684752.848,0,0
302,0,0,541724.653952806,0,0
303,0,0,2949.492,0,0
304,0,0,1022211.044,0,0
305,0,0,112739.359463344,0,4083.584
306,0,0,0,0,0
307,0,0,613284.492635728,0,0
308,0,0,29454.24,0,0
310,0,0,253887.587414208,0,0
311,0,0,1032933.408,0,0
312,0,0,363446.26678068,0,0
315,0,0,174483.2062817,0,0
316,0,0,51722.83728411,0,0
317,0,0,1047138.032,0,0
319,0,0,928335.6,0,0
321,0,0,722551.936,0,0
322,0,0,391105.88,0,0
323,0,0,2887.248,42629.1058384,0
326,0,0,2402746.67815017,0,2496.45
327,0,0,779131.136,0,0
329,0,0,743941.212,0,0
331,0,0,1425555.848,0,0
332,0,0,62549.636,0,0
333,0,0,219210.604,0,0
334,0,0,1042059.936,0,0
337,0,0,0,0,0
339,0,0,1515161.49939213,0,0
342,0,0,1013831.19405611,0,0
343,0,0,16379.79,0,0
345,0,0,1513835.52,0,0
347,0,0,392888.636928892,0,0
349,0,0,876279.72670506,0,0
351,0,0,496646.116,0,0
352,0,0,3612.952,0,0
353,0,0,312157.74299204,0,0
355,0,0,251792.076,0,0
356,0,0,127492.53,0,0
357,0,0,10185.32,0,0
358,0,5060.664,0,0,0
359,0,0,1043905.132,0,0
361,0,0,0,0,0
362,0,0,1722579.82,0,0
363,0,0,1017694,0,0
364,0,0,0,0,0
366,0,0,0,0,2973.645
368,0,0,493659.684880736,0,0
369,0,0,402676.4,0,0
370,0,0,0,0,0
373,0,0,1072189.35544141,0,0
375,0,0,777981.2979752,0,0
376,0,0,1184556.416,0,10001.64036564
380,0,0,200174.393565828,0,0
382,0,0,0,0,0
383,0,0,874742.85,0,0
384,0,0,0,0,0
385,0,0,501859.5,0,0
390,0,0,546477.657419484,0,0
391,0,0,0,0,0
392,0,0,20728.32,0,0
393,0,0,141391.437272442,0,0
394,0,0,0,0,0
396,0,0,1144260.41,0,3146.217
400,0,0,751590,0,0
401,0,0,0,0,0
402,0,0,0,0,0
404,0,0,283965.976,0,0
405,0,0,2783.788,0,0
407,0,0,300642.08,0,0
409,0,0,66125.593058932,0,0
410,0,0,0,0,0
412,0,0,81879.092712284,0,0
414,0,0,0,0,0
416,0,0,0,0,0
420,0,0,0,0,0
421,0,0,0,0,0
422,0,0,707275.532,0,0
424,0,0,0,0,0
425,0,0,0,0,0
426,0,0,1379180.608,0,0
429,0,0,2878.316,0,0
431,0,0,462116.92,1937.51524716,0
435,0,0,158040.32,0,0
436,0,8009.952,1231336.18,0,0
437,0,0,2985.024,0,0
438,0,0,1669509.332,0,0
439,0,0,3113.824,0,0
441,0,0,0,0,0
442,0,0,0,0,0
444,0,0,0,0,0
446,0,0,0,0,0
447,0,0,1456128.336,0,0
448,0,0,677518.58216612,0,0
449,0,0,0,0,0
450,0,0,0,0,0
452,0,0,219103.84817954,0,0
453,0,0,762106.302345052,0,0
454,0,0,2765.7,0,0
455,0,0,535137.748,0,0
457,0,0,0,0,0
458,0,0,973077.22,0,0
459,0,0,2953.664,0,0
461,0,0,1408216.384,0,0
462,0,5420.592,908392.4,24041.69304336,0
464,0,0,1516669.5,0,0
465,0,0,0,0,0
466,0,0,2915.92,0,0
468,0,0,0,0,0
472,0,0,527832.596598172,0,0
475,0,0,0,0,0
476,0,0,0,0,0
477,0,0,474497.58,0,0
478,0,0,2172780.61,0,0
479,0,0,71530.301927958,0,0
481,0,0,72048.8,0,0
482,0,0,2223005.496,0,0
483,0,0,363736.224875304,0,0
485,0,0,0,1967.436147105,0
487,0,0,838653.353411367,0,0
488,0,0,0,0,0
489,0,0,240168.5,0,0
490,0,0,0,0,0
491,0,0,54551.772,0,0
493,0,0,708508.84,0,0
494,0,0,117954.96,0,0
495,0,0,0,0,0
498,0,0,2753.212,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,1067237.028,0,0
504,0,0,935473.32,0,0
505,0,0,226566.56,0,0
508,0,0,2919.392,0,0
509,0,0,0,0,0
510,0,0,403501.2,0,0
511,0,0,93821.35088226,0,0
512,0,0,55785.62319872,0,0
513,0,0,1644195.964,0,0
517,0,3720.096,3044.888,0,0
518,0,0,0,0,0
520,0,0,0,0,0
522,0,0,644657.936,0,0
527,0,0,1258566.76,0,0
529,0,0,2841.664,0,0
531,0,0,0,0,0
532,0,0,0,0,0
533,0,0,88653.735,0,0
534,0,0,241667.9,0,0
535,0,0,0,0,0
536,0,0,249519.25,0,0
538,0,0,1411989.368,0,0
539,0,0,58081.848,0,0
541,0,0,328336.64,0,0
542,0,0,112812.094,0,0
544,0,0,3357.9,0,0
545,0,0,2681.98,0,0
547,0,0,0,0,0
548,0,0,3107.832,0,0
550,0,0,0,0,0
552,0,0,497182.5,0,0
553,0,0,305780.752126616,0,0
554,0,0,64094.088,0,0
555,0,0,1115982.096,0,0
556,0,3630.48,1431267.55,0,0
557,0,0,0,0,0
559,0,0,212833.909507904,0,0
560,0,0,588138.75,0,0
561,0,0,0,0,0
563,0,0,1311421.74637624,0,0
564,0,0,1814026.98,0,0
565,0,0,1406587.104,0,0
568,0,0,641966.2215979,0,0
569,0,0,353839.429380104,0,0
571,0,0,1025696.53690691,0,0
573,0,0,0,0,0
574,0,0,64441.50361152,0,0
577,0,0,1760615.46,0,0
580,0,0,282028.519809132,0,0
582,0,0,10715.4,0,0
583,0,0,297376.5,0,0
584,0,0,0,0,0
585,0,7790.688,1727524.76,0,4128.476
586,0,0,0,0,0
587,0,0,454752.692,0,0
588,0,0,322340.576501127,0,0
590,0,0,516076.144,0,0
593,0,0,0,0,0
594,0,0,1158190.98,0,0
596,0,0,0,0,2101.948
599,0,0,791421.48,0,0
600,0,0,1397527.248,0,0
601,0,0,793013.339228074,0,0
603,0,0,34330,0,0
604,0,0,118143.338,0,0
606,0,0,0,0,0
607,0,0,0,0,0
608,0,0,3045,0,0
609,0,0,462872.628,0,0
610,0,0,0,0,0
611,0,0,1025851,0,0
613,0,0,2065054.94297568,0,0
615,0,0,378043.928,0,0
616,0,0,2728336.816,0,0
617,0,0,632061.21407355,0,0
618,0,0,0,0,0
619,0,0,589765.18,0,0
621,0,0,60139.32,0,0
